编号	项目名称	所属行业	所属行业2	建设单位	建设地点1	建设地点2	投资主体性质	投资额（万元）	建设内容	经济指标	建设时间-起	建设时间-止	标签	项目性质	所属园区
1	遂宁圣碧康血液透析中心项目	医疗卫生行业	医疗卫生行业	四川圣碧康血液透析中心有限公司	四川	遂宁市	民营	650	主要开展血液透析治疗，针对急慢性肾衰、尿毒症等肾病患者提供诊疗服务、日常护理服务以及其他相关业务。项目拟投资650.00万元在遂宁市船山区渠河南路267号、269号、271号建立1家独立血液透析中心项目，拟建20个血液透析单元，并与当地医疗结构进行合作，聘请相关专家作为技术指导。具体包括：租赁738.84㎡经营场地，购进国际领先的血透设备，如透析机20台、血滤机1台以及其他配套设备等，并准备铺底流动资金。	项目总投资650.00万元，年均营业收入1119.60万元，年综合能耗6.52tce（当量值），年耗电5.16万度，用工人数20人，总用地面积738.84㎡，为国家新增GDP656.04万元。			血液透析中心，血透中心，第三血液透析中心，第三方血透中心	新建	
2	特色优质人参果产业化示范基地建设项目			小金县盛源种植专业合作社	四川	阿坝州小金县	民营	600	"本项目分别在海拔2400～2600米之间的美兴镇春厂村、老营乡麻脚寨、双柏乡大锁村、日尔乡木桠村等乡镇农户田间建立小金县特色人参果示范种植基地300亩。集成现代农业生产技术、食品加工技术，形成“专业合作社+基地+农户”的经济利益共同体，利用科技引领项目的实施。充分发挥高原藏区地理生态优势及低廉的劳动成本等优势，建立人参果生态种植、精深加工、销售全产业链经济利益模式。通过探究在高海拔地区人参果树如何高产、稳产以及人参果精深加工关键技术，扩大小金县乃至整个高原藏区人参果种植面积，解决人参果鲜果因采收期集中而可能存在滞销的严峻问题，增加了人参果花色品种，延长人参果下游产业链。项目实施后，正常年份种植人参果300亩，可生产总量达到324万斤，年产值1296万元，新增利润总额464万元，产业发展带动精准识别贫困农牧民30人,带动农户120户，种植户达到年均增收2-5万余元。2018年推广种植面积可达500亩，年总产量达到1620万斤，年产值1296万元；2019年后，可带动当地农村种植户200户，并随着项目的扩大每年新增种植户20户。"				人参果，仙果，巴克西，产业化示范基地，生态农业，循环农业，农业特色资源开发		
3	马来西亚登嘉楼州甘马挽市年产240万吨带式焙烧机高炉球团项目			MD NEW RESOURCES SDN.BHD.	马来西亚	登嘉楼州甘马挽市原柏华嘉钢铁厂（Perwaja Steel Sdn. Bhd.）内		95 592.04							
4	顺义昌金智能大数据分析技术应用平台云计算数据中心			北京万长云科技有限公司	北京	顺义	民营	306023.1	顺义昌金智能大数据分析技术应用平台云计算数据中心面向国内大型行业云平台、电子商务服务商、金融机构、电信服务商、企事业单位等机构以及众创中心的企业提供云计算服务、大数据处理服务、数据处理服务。顺义昌金智能大数据分析技术应用平台云计算数据中心建筑面积38584.980m?，共布置16个8kW机房模块，8个5kW机房模块。其中IT机房面积合计11985.28㎡（不含空调设备区），总投资约30.6亿元，平均每平米造价25.5万元。	顺义昌金智能大数据分析技术应用平台云计算数据中心建筑面积38584.980m?，共布置16个8kW机房模块，8个5kW机房模块。其中IT机房面积合计11985.28㎡（不含空调设备区），总投资约30.6亿元，平均每平米造价25.5万元。	201803	201812	智能大数据分析，云计算平台，云计算数据中心，智能大数据分析应用	新建	
5	10 万吨/年煤矸石综合利用项目			抚顺市盛达工业产品综合利用有限公司	辽宁	抚顺	民营	14017.85	"项目建成后预计可年产白炭黑1.38万吨、氢氧化铝1.5万吨、轻质碳酸钙11.5万吨、硫酸铝1.13万吨、氧化铝2.11万吨，预计年销售收入可达21070.00万元，年税后利润4303.41万元，年上缴各种税金2961.34万元。为国家新增GDP8701.15万元，直接带动地方就业350人左右。
建设目标是：从低热值煤矸石中提取铝系列产品、硅系列产品及能源利用，分离后的余渣制成各种低档建材产品，实现煤矸石资源、能源的就地加工转化和闭合循环利用，形成以“煤矸石——氧化铝——氢氧化铝——硫酸铝为链条的铝产业”和“煤矸石——硅酸钙——白炭黑等为链条的高端硅产业”为主导的新型化能源资源综合利用工业示范区，建设抚顺地区最大的新型绿色环保煤矸石资源综合利用基地。"	项目总投资14017.85万元，其中建设投资11114.78万元（其中建安工程费4523.92万元、设备购置费5305.00万元、土地购置费0.00万元、工程建设其他费用371.53万元、基本预备费816.04万元、涨价预备费98.29万元、建设期利息0.00万元），铺底流动资金2903.07万元。项目总投资14017.85万元，年销售收入21070.00万元，年综合能耗1063.69tce（当量值），用工人数350人左右，总用地面积110亩，建筑密度36.12%，容积率0.7，固定资产投资强度101.04万元/亩，为国家新增GDP8701.15万元。			白炭黑，煤矸石，氢氧化铝，轻质碳酸钙，硫酸铝，低热值煤矸石	改扩建	
6	医疗器械生产制造项目			北京瑞朗泰科医疗器械有限公司	北京	通州	民营	6100	项目拟投资6100.00万元，主要负责Ⅰ类：基础外科手术器械；Ⅱ类：矫形外科（骨科）手术器械；医用高频仪器设备；Ⅲ类：医用高频仪器设备；植入材料和人工器官；手术室、急诊室、诊疗室设备及器具。如基础外科手术器械、半月板缝合手术器械、钛合金带线锚钉、PEEK带线锚钉、带袢钢板、界面螺钉、半月板缝合系统、高频手术和电凝设备、刨削动力系统等。总用地面积1217平米（1.8255亩），具体包括900平方米的生产区、251平方米的办公区、66平方米的原料与成品库房。 届时可生产基础外科手术器械2500套、矫形外科（骨科）手术器械500套、医用高频电极1000套、植入材料和人工器官38500套（其中钛合金带线锚钉8000套、PEEK带线锚钉10000套、带袢钢板10000套、界面螺钉10000套、半月板缝合系统500套）、医用高频仪器设备50套、手术室、刨削动力系统50套。				矫形外科（骨科）手术器械，医用高频仪器设备，植入材料，人工器官，诊疗室设备及器具，基础外科手术器械，半月板缝合手术器械，钛合金带线锚钉，PEEK带线锚钉，带袢钢板，界面螺钉，骨科用无菌刨削刀头，基础外科手术器械，矫形外科（骨科）手术器械，医疗器械		
7	通化市独立连锁血液透析中心试点项目			上海相铭生物科技有限公司	吉林	通化	民营	5000	项目拟投资5000.00万元在通化市区建立1家独立连锁血液透析中心试点项目，分两期进行建设，具体包括：经政府协调提供一个免费的经营场所，用于初期项目试点以及后期扩展，并购进费森尤斯透析机4008S、费森尤斯血滤机MFT等国际领先的血透设备。项目初期建立1家血液透析中心，拟建100个血液透析单元，先期投入50个血透单元，第二年再投入50个血透单元，与当地医疗结构进行合作，聘请相关专家作为技术指导，后逐渐通过此试点模式在吉林省及东北地区乃至全国进行快速复制，争取5年建成1000张床位。	项目总投资5000.00万元，年均销售收入3630.00万元，年综合能耗53.45 tce（当量值），年耗电34.87万度，用工人数66人，总用地面积3000㎡，建筑面积8400㎡。	201801	201901	独立连锁血液透析中心，血透中心，第三方医疗机构，第三方血液透析中心	新建	
9	半挂车配件销售及服务平台（车桥力量）项目								"2016年7月22日我建立了车桥行业交流群，截止至今天已汇聚了全国200多家优质知名生产企业，100多家国内各大城市的优质经销商，我们是中国最专业的半挂车配件行业组织，没有之一。
"						
10	工业无人机产业园项目	航空、航天器及设备制造（374）	航空、航天器及设备制造（374）	深圳城际快机科技有限公司	全国		民营	500241.5	项目拟投资500241.50万元建设工业无人机产业园，分三期5年建设，占地面积1200亩。项目每期占地400亩，一期主要为小型无人机的生产，二期引进固定翼无人机生产线一条，生产2~4座固定翼无人机，三期购买1~2吨通航飞机改装成无人机，并建设警用无人机示范基地，为公司将来开展无人机在警用行业的飞手培训、任务培训及公安部集中及分散采购无人机等做前期准备。项目主要建设总装车间、调整检测机库、航材库、综合办公楼及研发中心、国际会议及产品展示中心、警用无人机示范基地、维修与检测厂房、跑道、停机坪及辅助工程。项目建成后主要生产多旋翼无人机、固定翼无人机、通航飞机改装无人机等多系列产品及警用无人机销售及新手培训。项目的建设规模为年产小型工业无人机800架，2~4座固定翼无人机300架，1~2吨通航无人机50架，预计年销售额390000.00万元，可为国家及地方上缴各类税金80365.38万元。项目分三期建设，将打造我国最大的高端中小型工业无人机产业基地和警用无人机示范基地，生产出满足各类行业需求的工业无人机和培养大量无人机飞手。	经过财务测算和分析，本项目全部运营后（正常年份）年收入390000.00万元，年增值税41665.48万元，年营业税金及附加4166.55万元，项目正常年份利润总额为138133.40万元，年上缴所得税额为34533.35万元，税后利润为103600.05万元；项目投资利润率27.61%，项目投资利税率36.78%，税前财务内部收益率为29.51%，税后财务内部收益率为25.03%，税前财务净现值407206.90万元，税后281866.39万元；税前投资回收期6.98年，税后投资回收期7.73年，其中均含建设期5年。			无人机，无人机产业园，固定翼无人机，警用无人机示范基地，多旋翼无人机，警用无人机，无人机飞手		
11	自然风干养生萝卜干项目			江苏阿娘养生食品有限公司	江苏	宿迁	民营		通过在线下单，城市家庭认购相应土地的收获权，成为奶爸共享农场会员，过上令人向往的田园生活。由奶爸整合乡村闲置优质土地，接受乡村托管，标准化、规模化开垦田园、建筑小院，统一种植绿色（有机）水稻，绿色（有机）蔬菜，绿色环保养殖，以自然生态的理念，共建专属定制的共享农场。						
